Stations,w,h,x,y
LiverpoolStreet_Moorgate.png,161,66,1199,798
LiverpoolStreet_Stratford.png,489,223,1305,642
Moorgate_Barbican.png,105,62,1165,795
SouthHamspstead_KilburnHighRoad.png,428,37,573,667
Stratford_Maryland.png,124,58,1673,608
TherapiaLane_BeddingtonLane.png,114,43,1076,1513
Barbican_Farringdon.png,98,61,1129,764
BeddingtonLane_MitchamJunction.png,125,40,1010,1515
KilburnHighRoad_QueensPark.png,162,32,574,669
Maryland_ForestGate.png,75,67,1737,567
Farringdon_KingsCrossStPancras.png,94,124,1100,675
ForestGate_ManorPark.png,101,72,1775,538
MitchamJunction_Mitcham.png,115,40,959,1517
WestHampsted_Brondesbury.png,178,76,715,556
Aldgate_TowerHill.png,96,94,1301,877
Brondesbury_BrondesburyPark.png,112,49,664,582
ManorPark_Ilford.png,78,44,1802,523
Mitcham_BelgraveWalk.png,105,46,899,1508
BelgraveWalk_PhippsBridge.png,93,40,855,1515
BrondesburyPark_KensalRise.png,115,42,621,583
Ilford_SevenKings.png,89,50,1831,496
TowerHill_Monument.png,142,95,1224,877
KensalRise_WillesdenJunction.png,185,58,484,584
Monument_CannonStreet.png,177,68,1139,891
PhippsBridge_MordenRoad.png,87,40,808,1515
SevenKings_Goodmayers.png,106,44,1831,485
BakerStreet_StJohnsWood.png,147,61,824,712
CannonStreet_MansionHouse.png,114,44,1123,935
Goodmayers_ChadwellHeath.png,135,64,1831,444
MordenRoad_MertonPark.png,114,110,730,1442
ChadwellHeath_Romford.png,177,73,1831,412
MansionHouse_Blackfriars.png,114,53,1091,957
MetronPark_DundonaldRoad.png,95,113,708,1357
StJohnsWood_SwissCottage.png,91,66,881,658
Waterloo_Embankment.png,159,89,974,1004
Blackfriars_Temple.png,100,56,1090,981
DundonaldRoad_Wimbledon.png,163,91,616,1289
SwissCottage_FinchleyRoad.png,176,73,785,611
Upminster_EmersonPark.png,275,80,1831,447
EmersonPark_Romford.png,231,64,1831,412
FinchleyRoad_WestHampstead.png,104,97,787,552
Temple_Embanlment.png,114,52,1038,999
WestCroyton_NorwoodJunction.png,122,83,1431,1407
Embankment_Westminster.png,186,55,944,999
NorwoodJunction_Anerley.png,120,43,1436,1381
Romford_GideaPark.png,198,49,1831,383
WestHampstead_Kilburn.png,140,61,755,555
Anerley_PengeWest.png,76,43,1434,1360
GideaPark_HaroldWood.png,231,42,1831,363
GreenPark_Westminster.png,109,147,905,907
Kilburn_WillesdenGreen.png,95,53,743,534
HaroldWood_Brentwood.png,275,77,1831,309
PengeWest_Sydenham.png,141,41,1371,1331
Westminster_StJamessPark.png,87,48,925,996
WillesdenGreen_DollisHill.png,116,39,717,521
CrystalPalace_Sydenham.png,141,89,1313,1330
DollisHill_Neasden.png,77,40,701,503
Shenfield_Brentwood.png,276,123,1831,258
StJamessPark_Victoria.png,115,41,862,995
Neasden_WebleyPark.png,151,41,601,493
Sydenham_ForestHill.png,82,48,1374,1303
Victoria_SloaneSquare.png,92,60,836,997
Whitechapel_Shadwell.png,75,139,1437,821
ForestHill_HonorOakPark.png,91,44,1364,1279
Shadwell_Wapping.png,68,59,1436,919
SloaneSquare_SouthKensington.png,112,62,766,1001
WebleyPark_Kingsbury.png,142,62,593,467
HonorOakPark_Brockley.png,93,46,1364,1251
KingsCrossStPancras_EustonSquare.png,171,104,992,672
Kingsbury_Queensbury.png,84,43,668,444
Wapping_Rotherhithe.png,117,51,1383,966
Brockley_NewCrossGate.png,108,50,1347,1220
EustonSquare_GreatPortlandStreet.png,119,46,917,733
Queensbury_CannosPark.png,77,40,674,416
Rotherhithe_CanadaWater.png,72,50,1381,1006
BaronsCourt_Hammersmith.png,131,58,535,982
AldgateEast_TowerHill.png,128,149,1305,821
CanadaWater_SurreyQuyas.png,81,109,1374,1018
CannosPark_Stanmore.png,88,48,667,386
GreatPortlabdStreet_BakerStreet.png,167,44,821,733
BakerStreet_FinchleyRoad.png,127,166,788,610
KingsCrossStPancras_RussellSquare.png,64,151,1100,675
LiverpoolStreet_AldgateEast.png,130,58,1306,802
NewCrossGate_SurreyQuyas.png,108,129,1346,1115
AldgateEast_Whitechapel.png,134,33,1383,822
FinchleyRoad_WembleyPark.png,281,165,605,483
NewCross_SurreyQuyas.png,172,102,1376,1116
RussellSquare_Holborn.png,74,70,1087,804
Holborn_CoventGarden.png,82,51,1065,846
surreyQuays_QueensRoadPeckham.png,226,124,1229,1113
WenbleyPark_PrestonRoad.png,107,66,591,467
Whitechapel_StepneyGreen.png,120,65,1440,781
CoventGarden_LeicesterSquare.png,131,50,1035,873
PrestonRoad_NorthwickPark.png,144,53,521,466
QueensRoadPeckham_PeckhamRye.png,136,78,1189,1206
StepneyGreen_MileEnd.png,102,58,1478,747
MileEnd_BowRoad.png,122,47,1535,747
NorthwickPark_HarrowontheHill.png,122,56,454,458
PeckhamRye_denmarkHill.png,176,83,1104,1260
PiccadillyCircus_LeicesterSquare.png,177,57,955,898
BakerStreet_Marylebone.png,118,67,796,710
BowRoad_BromleybyBow.png,91,55,1613,754
DenmarkHill_ClaphamhighStreet.png,336,38,853,1306
PiccadillyCircus_OxfordCircus.png,97,127,915,826
BromleybyBow_WestHam.png,119,56,1655,754
ClaphamHighStreet_WandsworthRoad.png,126,54,855,1269
Marylebone_EdgwareRoad.png,149,27,719,711
PiccadillyCircus_GreenPark.png,111,48,904,908
EdgwareRoad_Paddington.png,147,61,642,710
GreenPark_BondStreet.png,148,101,824,834
WadsworthRoad_ClaphamJunction.png,135,54,782,1253
WestHam_Plaistow.png,119,58,1701,754
ClaphamJunction_ImperialWharf.png,90,141,753,1170
GreenPark_HydeParkCorner.png,171,40,805,905
Paddington_WarwickAvenue.png,141,59,606,711
Plaistow_UptonPark.png,75,51,1760,734
HydeParkcoener_Knightsbridge.png,118,64,779,923
ImperialWharf_WestBorompton.png,253,116,590,1083
UptonPark_EastHam.png,93,62,1788,705
WarwickAvenue_MaidaVale.png,116,38,545,718
EastHam_Barking.png,85,59,1813,673
Knightsbridge_SouthKensington.png,81,92,772,966
MaidaVale_KilburnPark.png,88,35,522,702
Barking_Upney.png,89,49,1823,663
KilburnPark_QueensPark.png,132,57,522,663
SouthKensington_GloucesterRoad.png,86,70,744,987
GloucesterRoad_EarlsCourt.png,91,75,705,985
QueensPark_KensalGreen.png,85,35,572,649
Upney_Becontree.png,116,41,1831,650
Becontree_DagenhamHeathway.png,186,48,1831,621
KensalGreen_WillesdenJunction.png,168,52,485,616
WarrenStreet_GoodgeStreet.png,410,273,693,757
DagenhamHeathway_DagenhamEast.png,185,49,1831,600
GoodgeStreet_TottenhamCourtRoad.png,111,82,985,803
Gunnersbury_SouthActon.png,99,137,409,964
DagenhamEast_ElmPark.png,190,65,1831,562
LiverpoolStreet_Bank.png,141,144,1220,799
SouthActon_ActonCentral.png,91,55,400,932
ActonCentral_WillesdenJunction.png,192,344,400,614
Bank_StPauls.png,111,63,1177,878
ElmPark_Hornchurch.png,219,43,1831,547
Hornchurch_UpminsterBridge.png,266,41,1831,528
StPauls_ChanceryLane.png,82,54,1155,860
WillesdenJunction_Harlesden.png,119,54,477,596
ChanceryLane_Holborn.png,147,33,1090,847
Harlesden_StonebridgePark.png,125,36,476,572
UpminsterBridge_Upminster.png,276,64,1831,484
Holborn_TottenhamCourtRoad.png,153,54,985,830
StonebroidgePark_WembleyCentral.png,127,35,473,556
Waterloo_Westminster.png,124,92,949,998
TottenhamCourtRoad_OxfordCircus.png,142,57,912,827
Waterloo_Bank.png,319,220,970,872
WebleyCentral_NorthWebley.png,114,37,480,538
Embankment_CharingCross.png,146,94,987,958
NorthWembley_SouthKenton.png,97,35,496,518
OxfordCircus_RegentsPark.png,87,75,915,787
CharringCross_LeicesterSquare.png,149,84,988,902
RegentsPark_BakerStreet.png,186,77,822,735
SouthKenton_Kenton.png,125,88,504,447
HarrowandWealdstone_Kenton.png,144,64,492,399
LeicesterSquare_TottenhamCourtRoad.png,152,90,981,834
OxfordCircus_BondStreet.png,143,38,822,829
BakerStreet_BondStreet.png,91,132,821,735
CharingCross_PiccadillyCircus.png,102,72,954,916
HarrowandWealdstone_HeadstoneLane.png,160,45,513,379
BondStreet_MarbleArch.png,113,40,784,836
HeadstoneLane_HatchEnd.png,93,39,581,354
HatchEnd_CarpendersPark.png,108,44,574,324
MarbleArch_LancasterGate.png,99,58,783,857
CarpendersPark_Bushey.png,97,50,575,293
LancasterGate_Queensway.png,139,38,738,882
Bushey_WatfordHighStreet.png,114,49,575,266
Queensway_NottingHillGate.png,93,46,723,871
WatfordJunction_WatfordHighStreet.png,111,51,575,230
Amersham_ChalfontandLatimer.png,172,58,69,240
Chesham_ChalfontandLatimer.png,161,54,77,230
ChalfontandLatimer_Chorleywood.png,109,71,176,241
Chorleywood_Rickmansworth.png,127,55,185,283
Rickmansworth_MoorPark.png,169,41,228,323
Watford_Croxley.png,63,52,313,271
Croxley_MoorPark.png,71,57,321,305
MoorPark_Northwood.png,95,47,329,338
Northwood_NorthwoodHills.png,120,44,351,365
NorthwoodHills_Pinner.png,97,49,372,387
Pinner_NorthHarrow.png,105,43,396,412
NorthHarrow_HarrowontheHill.png,105,65,421,435
WestHarrow_HarrowontheHill.png,127,62,403,454
RaynersLane_WestHarrow.png,171,48,289,467
WestRuislip_RuislipGardens.png,99,136,159,375
Ruislip_SouthRuislip.png,101,91,163,486
SouthRuislip_Northolt.png,80,79,172,551
Northolt_Greenford.png,90,101,188,615
Greenford_Perivale.png,117,74,212,679
Perivale_HangerLane.png,97,62,270,735
HangerLane_NorthActon.png,235,151,291,775
WestActon_NorthActon.png,118,39,408,892
EalingBroadway_WestActon.png,118,63,331,872
Uxbridge_Hillingdon.png,101,43,107,399
Hillingdon_Ickenham.png,87,41,150,403
